INDUSTRI,KOHORT 1,JUMLAH 1,KOHORT 2,JUMLAH 2,KOHORT 3,JUMLAH 3
World Trade Centre KL,SAH,0,SAP ,3,SAP ,4
World Trade Centre KL,SAH,0,SAH,5,SAH,9
Gerbang Alaf Sdn. Bhd.,SAH,16,SAH,10,SAH,9
Skytrex Sdn. Bhd.,SAH,0,SAH,1,SAH,3
Skytrex Sdn. Bhd.,SAH,0,SAS,4,SAS,6
Skytrex Sdn. Bhd.,SAH,0,SAP,3,SAP,6
Sunway Lagoon Sdn. Bhd.,SAH,0,SAH,3,SAH,0
Sunway Lagoon Sdn. Bhd.,SAH,0,SAS,1,SAS,3
Sunway Lagoon Sdn. Bhd.,SAH,0,SAP,5,SAP,6
Sunway Lost World of Tambun,SAH,0,SAH,0,SAH,4
Sunway Lost World of Tambun,SAH,0,SAP,2,SAS,2
AmSPA Association,SAH,0,SAS,1,SAS,0
A'Famosa Resort & Hotel,SAH,0,SAH,1,SAH,0
A'Famosa Resort & Hotel,SAH,0,SAP,5,SAP,0
A'Famosa Resort & Hotel,SAH,0,SAS,6,SAS,0
Asian Overland Services,SAH,0,SAP,7,SAP,5
Frangipani Cottage by the Sea,SAH,0,SAP,7,SAH,0
Frangipani Cottage by the Sea,SAH,0,SAH,3,SAP,0
Hit Fat Sdn. Bhd.,SAH,0,SAS,4,SAS,0
Rangkaian Hotel Seri Malaysia,SAH,0,SAH,4,SAH,4
Rangkaian Hotel Seri Malaysia,SAH,0,SAP,0,SAP,4
EZ Kembara Sdn. Bhd.,SAH,0,SAP,0,SAP,2
Big Onion Sdn. Bhd.,SAH,0,SAH,0,SAH,2
Resort World Genting,SAH,0,SAP,0,SAS,1
Resort World Genting,SAH,0,,0,SAP,8
